longitude,latitude,FIRE_DATE,FIRE_CAUSE,FIRE_SIZE_HECTARES,FIRE_YEAR
-121.77462062044022,52.44781140285472,2017-07-07,Lightning,46.7,2017
-121.76141710260293,52.437973447168524,2017-07-07,Lightning,81.2,2017
-121.75860512113705,52.47973224509995,2017-07-07,Lightning,1.4,2017
-121.75888680201615,52.52503076193675,2017-07-07,Lightning,121.2,2017
-121.73054783883885,52.506982031784865,2017-07-07,Lightning,48.3,2017
-121.5461636179882,52.40900161510419,2017-07-06,Lightning,196.5,2017
-121.33942077262577,52.61674613023809,2017-07-11,Lightning,640.5,2017
-121.57262521538782,52.88763468480721,2017-07-07,Lightning,1711.6,2017
-121.57262521538782,52.88763468480721,2017-07-07,Lightning,1711.6,2017
-121.05235227325696,52.58454913507118,2017-07-17,Lightning,577.0,2017
-121.04528982814269,52.79027543560256,2017-07-17,Lightning,1375.7,2017
-121.18381454287953,52.65594075290548,2017-07-18,Lightning,4831.2,2017
-120.72817205644724,52.80167261799085,2017-07-23,Lightning,872.7,2017
-121.20924785235925,52.5600904064791,2017-07-25,Lightning,1247.8,2017
-121.62447111310301,52.1578720794259,2017-07-29,Person,1.9,2017
-120.54817411305002,52.62380725113096,2017-07-31,Lightning,1725.4,2017
-121.17474997195441,52.79134072597336,2017-08-13,Lightning,5.9,2017
-120.71625574965427,52.668072470718585,2017-08-20,Lightning,561.0,2017
-120.2871949332432,52.64683035358146,2017-07-20,Lightning,14.6,2017
-121.16046480468363,52.735478046026,2017-07-16,Lightning,14.3,2017
-121.83481586088676,51.756861159511644,2017-06-16,Lightning,27.4,2017
-121.83481586088676,51.756861159511644,2017-06-16,Lightning,27.4,2017
-121.39188024051364,51.68345103667504,2017-07-06,Person,5710.8,2017
-121.65945402575078,51.40592042752117,2017-07-19,Lightning,1.4,2017
-120.43468502021821,52.02058036504026,2017-07-20,Lightning,1.1,2017
-124.9068363708697,51.36997262235152,2016-07-16,Lightning,28.7,2016
-123.13370986024755,51.948754017006856,2017-03-23,Person,0.6,2016
-120.8954052565735,51.75540779459463,2017-08-12,Lightning,195.4,2017
-120.91668801210531,51.826919945886445,2017-08-12,Lightning,29.6,2017
-122.07483839287713,51.4391908638023,2017-08-27,Person,4.0,2017
-123.1584504921349,51.99617961247825,2017-04-03,Person,1.2,2017
-123.2568269499279,52.09066954889433,2017-04-04,Person,1.9,2017
-123.16358832447727,52.011496381802964,2017-04-09,Person,0.4,2017
-123.40386033390364,52.10023130903147,2017-04-11,Person,0.8,2017
-123.15917637396755,51.98943883816961,2017-04-21,Person,7.4,2017
-123.2623273256898,52.076214138751354,2017-04-30,Person,0.7,2017
